Company,Symbol,Industry,Identifier,Indices,Currency,Trading,urls
Athena Gold Corporation,ATHA,Mining,,CSE Composite,CAD,2021-10-18 04:00:00,https://thecse.com/en/listings/mining/athena-gold-corporation
Atmofizer Technologies Inc.,ATMO,Technology,,CSE Composite,CAD,2021-11-18 05:00:00,https://thecse.com/en/listings/technology/atmofizer-technologies-inc
Aurwest Resources Corporation,AWR,Mining,,CSE Composite,CAD,2015-09-09 04:00:00,https://thecse.com/en/listings/mining/aurwest-resources-corporation
Australian Goldfields Limited,AUGF,Mining,,CSE Composite,CAD,2017-10-13 04:00:00,https://thecse.com/en/listings/mining/australian-goldfields-limited
Australis Capital Inc.,AUSA,Diversified Industries,US Cannabis,CSE Composite,CAD,2018-09-19 04:00:00,https://thecse.com/en/listings/diversified-industries/australis-capital-inc
Auxico Resources Canada Inc.,AUAG,Mining,,CSE Composite,CAD,2017-10-17 04:00:00,https://thecse.com/en/listings/mining/auxico-resources-canada-inc
Avarone Metals Inc.,AVM.X,Mining,,,CAD,2016-02-01 05:00:00,https://thecse.com/en/listings/mining/avarone-metals-inc
Avisa Diagnostics Inc.,AVBT,Life Sciences,,,CAD,2021-05-18 04:00:00,https://thecse.com/en/listings/life-sciences/avisa-diagnostics-inc
Axiom Capital Advisors Inc.,ACA,Diversified Industries,,,CAD,2020-08-13 04:00:00,https://thecse.com/en/listings/diversified-industries/axiom-capital-advisors-inc
Ayr Wellness Inc. 10DEC2024 Notes,AYR.NT.U,Life Sciences,US Cannabis,,USD,2021-04-21 04:00:00,https://thecse.com/en/listings/life-sciences/ayr-wellness-inc-10dec2024-notes
"Ayr Wellness Inc. S.V., RVS, L.V.",AYR.A,Life Sciences,US Cannabis,CSE25,CAD,2019-08-19 04:00:00,"https://thecse.com/en/listings/life-sciences/ayr-wellness-inc-sv,-rvs,-lv"
Ayurcann Holdings Corp,AYUR,Life Sciences,Cannabis,CSE Composite,CAD,2021-04-08 04:00:00,https://thecse.com/en/listings/life-sciences/ayurcann-holdings-corp
BacTech Environmental Corporation,BAC,CleanTech,,CSE Composite,CAD,2015-09-04 04:00:00,https://thecse.com/en/listings/cleantech/bactech-environmental-corporation
Baden Resources Inc.,BDN,Mining,,,CAD,2021-05-28 04:00:00,https://thecse.com/en/listings/mining/baden-resources-inc
Bam Bam Resources Corp.,BBR,Mining,,CSE Composite,CAD,2017-12-20 05:00:00,https://thecse.com/en/listings/mining/bam-bam-resources-corp
Bam Bam Resources Corp. 14SEP2023 Warrants,BBR.WT,Mining,,,CAD,2021-02-19 05:00:00,https://thecse.com/en/listings/mining/bam-bam-resources-corp-14sep2023-warrants
