Company,Symbol,Industry,Identifier,Indices,Currency,Trading,urls
Better Plant Sciences Inc. (formerly was PLNT/Better Plant Sciences Inc. until 2023-02-10),PLNT.X,Life Sciences,,,CAD,2018-12-14 05:00:00,https://thecse.com/en/listings/life-sciences/better-plant-sciences-inc-(formerly-was-plnt/better-plant-sciences-inc-until-2023-02-10)
BetterLife Pharma Inc.,BETR,Life Sciences,,CSE Composite,CAD,2020-09-01 04:00:00,https://thecse.com/en/listings/life-sciences/betterlife-pharma-inc
Bettermoo(d) Food Corporation (formerly was MOOO/Bettermood Food Corporation until 2023-03-17),MOOO,Life Sciences,,CSE Composite,CAD,2020-12-14 05:00:00,https://thecse.com/en/listings/life-sciences/bettermoo(d)-food-corporation-(formerly-was-mooo/bettermood-food-corporation-until-2023-03-17)
BevCanna Enterprises Inc.,BEV,Life Sciences,Cannabis,,CAD,2019-07-02 04:00:00,https://thecse.com/en/listings/life-sciences/bevcanna-enterprises-inc
Beyond Lithium Inc. (formerly was BY/Beyond Minerals Inc. until 2023-05-17),BY,Mining,,CSE Composite,CAD,2022-04-13 04:00:00,https://thecse.com/en/listings/mining/beyond-lithium-inc-(formerly-was-by/beyond-minerals-inc-until-2023-05-17)
Beyond Medical Technologies Inc,DOCT,Technology,,,CAD,2017-10-26 04:00:00,https://thecse.com/en/listings/technology/beyond-medical-technologies-inc
Beyond Oil Ltd.,BOIL,Diversified Industries,,CSE Composite,CAD,2022-05-25 04:00:00,https://thecse.com/en/listings/diversified-industries/beyond-oil-ltd
Bhang Inc.,BHNG,Life Sciences,US Cannabis,,CAD,2019-07-11 04:00:00,https://thecse.com/en/listings/life-sciences/bhang-inc
Big Gold Inc.,BG,Mining,,,CAD,2022-09-21 04:00:00,https://thecse.com/en/listings/mining/big-gold-inc
Big Red Mining Corp.,RED,Mining,,,CAD,2021-11-08 05:00:00,https://thecse.com/en/listings/mining/big-red-mining-corp
BIGG Digital Assets Inc,BIGG,Technology,Blockchain,CSE Composite,CAD,2017-12-06 05:00:00,https://thecse.com/en/listings/technology/bigg-digital-assets-inc
